Brand Name,Product Name,Category,VPN,UPC,Price,Qty,Description,Specification,Video URL,Image URL,Related Product URL
Targus,Notebook Carrying Case,Home & Appliances,TSB194US,92636252045.0,37.0,12.0,"Targus TSB194US Carrying Case (Backpack) for 16"" Notebook - Black, Gray - Water Proof - Poly Oxford - 18.9"" Height x 13"" Width x 7.1"" Depth
","Miscellaneous
Application/Usage Notebook
Country of Origin China
General Information
Product Type Carrying Case
Manufacturer Part Number TSB194US
Manufacturer Website Address http://www.targus.com
Manufacturer Targus Group International
Product Model TSB194US
Product Name Notebook Carrying Case
Brand Name Targus
Product Information
Case Features Lockable Notebook Compartment
Style Backpack
Compartment Height 15.39""
Compartment Width 11.22""
Compartment Depth 2.40""
Maximum Screen Size Supported 16""
Closure Type Zipper
Physical Characteristics
Material Poly Oxford
Weight (Approximate) 14.11 oz
Color Gray
Black
Durability Water Proof
Water Proof
Height 18.9""
Width 13""
Depth 7.1""",,"https://content.etilize.com/300/1019839406.jpg
https://content.etilize.com/Right/1019839406.jpg
","https://usa.ingrammicro.com/site/productdetail?id=A300-PU7625
"
Energizer,EL123BP Lithium General Purpose Battery,Home & Appliances,EL123BP-12,39800100627.0,36.0,11.0,"Energizer 123 Batteries, 12 Pack - For Multipurpose - 3 V DC - 12 12-PACK
Never miss capturing a moment: Energizer 123 Photo Batteries deliver precise, long-lasting performance to your camera and photo equipment. But it doesn't stop at photos: These lithium batteries can also power up high-tech flashlights, digital cameras, digital camcorders, smart home devices, flash units, and lasers, and more. With a storage life of up to 10 years, you can be sure they'll stay fresh until you need them. They're the perfect batteries for a picture-perfect life.
","Miscellaneous
Compatibility
Digital Cameras
Flashlights
Binoculars
Night Vision Gadgets
General Information
Product Type Battery
Manufacturer Part Number EL123BP-12
Manufacturer Website Address http://www.energizer.com
Packaged Quantity 12
Manufacturer Energizer Holdings, Inc
Product Model EL123BP
Product Name EL123BP Lithium General Purpose Battery
Brand Name Energizer
Battery Information
Application/Usage Multipurpose
Output Voltage 3 V DC",,"https://content.etilize.com/300/1018385341.jpg
https://content.etilize.com/Alternate-Image1/1018385341.jpg
","https://usa.ingrammicro.com/site/productdetail?id=A300-NZ4197
https://usa.ingrammicro.com/site/productdetail?id=A300-PU7625
"
Energizer,Hi-Tech Keychain Light,Home & Appliances,HTKC2BUCS,39800063786.0,9.0,7.0,Energizer Hi-Tech Keychain Light - LED - Metal Body KEYCHAIN LED LIGHT,"Controls/Indicators
Controls
3 Modes for optimal lighting
Miscellaneous
Additional Information
Auto shut-off after 30 minutes
Packed with 2 coin lithium ECR2016
Includes flat integrated key-ring
General Information
Product Type Keychain Light
Manufacturer Part Number HTKC2BUCS
Manufacturer Website Address http://www.energizer.com
Manufacturer Energizer Holdings, Inc
Product Name Hi-Tech Keychain Light
Brand Name Energizer
Power Description
Power Source Battery
Physical Characteristics
Material Metal Body
Weight (Approximate) 1 lb
Technical Information
Features Lightweight
Compact
Bulb/Tube Type LED
Luminance Flux 14 Lumen",,,"https://usa.ingrammicro.com/site/productdetail?id=A300-Y69690
https://usa.ingrammicro.com/site/productdetail?id=A300-NZ4197
https://usa.ingrammicro.com/site/productdetail?id=A300-PU7625
"
Panasonic,NN-SE782S Microwave Oven,Home & Appliances,NN-SE785S,885170188907.0,360.0,19.0,"Panasonic NN-SE782S Microwave Oven - Single - 22"" Width - 11.97 gal Capacity - Microwave - Built-in Installation - 10 Power Levels - 1250 W Microwave Power - 14.96"" Turntable - 120 V AC - Countertop - Stainless Steel CYCLONIC WAVE INVENTER STAINLESS","Miscellaneous
Certifications & Standards UL
Technical Information
Size 22""
Features Quick Minute
Sensor Cook
Sensor Reheat
Turbo Defrost
Visualite Window
Multi-stage Cook
LCD Display
Keep Warm
Inverter Technology
Fingerprint Resistant
Delay Start
Cyclonic Wave Technology
Clock
Child Lock
Automatic Program
Auto-defrost
Auto Cook
Timer
Turntable Diameter 14.96""
Microwave Power 1250 W
Built-in Installation Yes
Number of Power Levels 10
Function Microwave
Microwave Type Single
Microwave Capacity 11.97 gal
Power Description
Input Voltage 120 V AC
Controls/Indicators
Controls Touch Panel
Button
Knob
General Information
Product Type Microwave Oven
Manufacturer Part Number NN-SE785S
Manufacturer Website Address http://www.panasonic.com
Manufacturer Panasonic
Product Model NN-SE782S
Product Name NN-SE782S Microwave Oven
Brand Name Panasonic
Physical Characteristics
Weight (Approximate) 32 lb
Color Stainless Steel
Form Factor Countertop
Height 11.9""
Width 21.9""
Depth 19.4""
Internal Height 9""
Internal Width 16.44""
Internal Depth 18.50""",,"https://content.etilize.com/300/1059144577.jpg
https://content.etilize.com/Left/1059144577.jpg
","https://usa.ingrammicro.com/site/productdetail?id=A300-6MD155
https://usa.ingrammicro.com/site/productdetail?id=A300-Y69690
https://usa.ingrammicro.com/site/productdetail?id=A300-NZ4197
https://usa.ingrammicro.com/site/productdetail?id=A300-PU7625
"
Metropolitan,Electric Computer Duster,Home & Appliances,ED-500,31275117308.0,127.0,3.0,"Metro DataVac ED500 Electric Duster - 523.6 gal/min - Handheld 500W- 120 VOLT
Electric duster features a powerful 500-watt motor that blasts dust, dirt and debris off expensive electronic equipment to keep it running at peak efficiency. Eco-friendly design is a more effective and cost-efficient alternative to canned air products. 12' conductor cord allows convenient use anywhere in the room. All-steel backed enamel provides a durable finish for long-lasting use.
","Power Description
Input Voltage 120 V AC
General Information
Product Type Handy Air Blower
Manufacturer Part Number ED-500
Manufacturer Website Address http://www.metrovacworld.com
Packaged Quantity 1 Each
Manufacturer Metropolitan Vacuum Cleaner Company, Inc
Product Model ED500
Product Name Electric Computer Duster
Product Line DataVac
Brand Name MetroVac
Technical Information
Air Flow 523.6 gal/min
Physical Characteristics
Application/Usage A/V Equipment
Material Steel
Weight (Approximate) 2.75 lb
Form Factor Handheld
Miscellaneous
Additional Information
Motor: .75HP, single fan, 120 volt, 4.5 amp, 500-watt
Electric power eliminates the need or dangerous, environmentally damaging aerosol cans
Package Contents
DataVac ED500 Electric Duster
12' Power Cord
Air-Pin-Pointer
Air-Concentrator Nozzle
Air-Flare Nozzle
4 x Detailing Tool Kit
Country of Origin United States
Recycled No
Assembly Required No",,"https://content.etilize.com/300/1013958704.jpg
","https://usa.ingrammicro.com/site/productdetail?id=A300-Y68468
https://usa.ingrammicro.com/site/productdetail?id=A300-6MD155
https://usa.ingrammicro.com/site/productdetail?id=A300-Y69690
https://usa.ingrammicro.com/site/productdetail?id=A300-NZ4197
https://usa.ingrammicro.com/site/productdetail?id=A300-PU7625
"
Energizer,EL123BP Lithium General Purpose Battery,Home & Appliances,EL123BP-12,39800100627.0,,8.0,"Energizer 123 Batteries, 12 Pack - For Multipurpose - 3 V DC - 12 12-PACK
Never miss capturing a moment: Energizer 123 Photo Batteries deliver precise, long-lasting performance to your camera and photo equipment. But it doesn't stop at photos: These lithium batteries can also power up high-tech flashlights, digital cameras, digital camcorders, smart home devices, flash units, and lasers, and more. With a storage life of up to 10 years, you can be sure they'll stay fresh until you need them. They're the perfect batteries for a picture-perfect life.
","Miscellaneous
Compatibility
Digital Cameras
Flashlights
Binoculars
Night Vision Gadgets
General Information
Product Type Battery
Manufacturer Part Number EL123BP-12
Manufacturer Website Address http://www.energizer.com
Packaged Quantity 12
Manufacturer Energizer Holdings, Inc
Product Model EL123BP
Product Name EL123BP Lithium General Purpose Battery
Brand Name Energizer
Battery Information
Application/Usage Multipurpose
Output Voltage 3 V DC",,,"https://usa.ingrammicro.com/site/productdetail?id=A300-NZ4197
"
Energizer,Trim Flex BookLight,Home & Appliances,FNL2BU1CS,39800064837.0,10.0,4.0,"Energizer Trim Flex BookLight - LED - CR2032 - Gray, Black LIGHT
Here's some light reading: The Energizer Book Light emits a warm, white LED light with superior contrast for optimal reading conditions or other up-close tasks. The exclusive beam design delivers broad illumination while still being narrow enough to not bother anyone near you. Forget lugging around a flashlight, this book light is easy to travel with-its flexible neck and compact size fit in your pocket, backpack, or purse without hassle. Simply clip the reading light onto a book, binder, tablet, eReader, car visor, or any other surface that is 0.5 inches (13mm) thick. Order the Energizer LED Book Light now and stop reading this, so you can start reading everywhere.
More from the Manufacturer
","Controls/Indicators
Controls
Slide switch
Power Description
Power Source Battery
Battery Information
Battery Chemistry Lithium (Li)
Battery Size CR2032
Number of Batteries 2
Technical Information
Features Built-in Clip
Slide Switch
Flexible
Compact
Lamp Life 30 Hour
Bulb/Tube Type LED
Number of Light Source 1
Light Source Color White
Luminance Flux 14 Lumen
Beam Distance 22.97 ft
Miscellaneous
Additional Information
Hands-free multi-position flexible neck
Features large spring clip for stable positioning
Flexible neck and large spring clip for hands-free use
Package Contents
LED Book Light Personal Flashlight
2 x CR2032 Batteries
Country of Origin China
Physical Characteristics
Weight (Approximate) 1.60 oz
Color Gray
Black
Length 10.4""
Width 0.9""
General Information
Product Type Flashlight
Manufacturer Part Number FNL2BU1CS
Manufacturer Website Address http://www.energizer.com
Manufacturer Energizer Holdings, Inc
Product Name LED Book Light Personal Flashlight
Brand Name Energizer",,"https://content.etilize.com/300/10767398.jpg
https://content.etilize.com/Alternate-Image1/10767398.jpg
https://content.etilize.com/Alternate-Image2/10767398.jpg
https://content.etilize.com/Alternate-Image3/10767398.jpg
https://content.etilize.com/Alternate-Image4/10767398.jpg
https://content.etilize.com/Alternate-Image5/10767398.jpg
https://content.etilize.com/Alternate-Image6/10767398.jpg
https://content.etilize.com/Alternate-Image7/10767398.jpg
https://content.etilize.com/Alternate-Image8/10767398.jpg
","https://usa.ingrammicro.com/site/productdetail?id=A300-T46961
https://usa.ingrammicro.com/site/productdetail?id=A300-NZ4197
"
Panasonic,SR-G06FGL Cooker,Home & Appliances,SR-G06FGL,885170281349.0,40.0,4.0,Panasonic SR-G06FGL Cooker - Silver AUTO COOKING- NON-STICK PAN,"Miscellaneous
Application/Usage Rice
Country of Origin India
General Information
Product Type Rice Cooker
Manufacturer Part Number SR-G06FGL
Manufacturer Website Address http://www.panasonic.com
Manufacturer Panasonic
Product Model SR-G06FGL
Product Name SR-G06FGL Cooker
Brand Name Panasonic
Product Information
Features Non-stick
Auto Cook
Maximum Number of Cups 3
Physical Characteristics
Material Plastic Knob
Glass Lid
Aluminum Pan
Color Silver",,,"https://usa.ingrammicro.com/site/productdetail?id=A300-1Y9049
https://usa.ingrammicro.com/site/productdetail?id=A300-T46961
https://usa.ingrammicro.com/site/productdetail?id=A300-NZ4197
"
Metropolitan,Pro Cleaning Systems Disposable Bags,Home & Appliances,DV-5PBRP,31275516736.0,12.0,15.0,"MetroVac Pro Cleaning Systems Disposable Bags - 5 / Pack - White - Paper
Disposable filter bags offer a clean and easy way to dispose of the dirt from your vacuum cleaner. Replacement bags are designed for use in Metrovac MDV-2/MDV-3, VNB and OV series.
","Physical Characteristics
Material Paper
Color White
General Information
Product Type Disposable Vacuum Bag
Manufacturer Part Number DV5PBRP
Manufacturer Website Address http://www.metrovacworld.com
Packaged Quantity 5 / Pack
Manufacturer Metropolitan Vacuum Cleaner Company, Inc
Product Name Pro Cleaning Systems Disposable Bags
Product Line DataVac
Brand Name MetroVac
Miscellaneous
Compatibility
Metro OV Vacuum Cleaners:
OV-1
OV-3
OV-4
Country of Origin China
Recycled No
Post-consumer-waste% 0%
Assembly Required No",,,"https://usa.ingrammicro.com/site/productdetail?id=A300-VV2887
https://usa.ingrammicro.com/site/productdetail?id=A300-1Y9049
https://usa.ingrammicro.com/site/productdetail?id=A300-T46961
https://usa.ingrammicro.com/site/productdetail?id=A300-NZ4197
"
Royal,FS-500 One-row Coin Sorter,Home & Appliances,FS-500,849023031697.0,85.0,5.0,"Royal Sovereign One Row Coin Sorter, FS-500 - 200 Coin Capacity - Sorts 156 coins/min PATENTED ANTI-JAM TECHNOLOGY
One-row coin sorter features a high-speed design to accurately sort up to 156 coins per minute. Large hopper holds up to 200 coins to let you sort more coins at once. Anti-jam technology gives you the ease of error-free coin sorting by automatically adjusting the motor to prevent jams. Overflow tray gathers change that spills over for easy cleanup.
","Miscellaneous
Country of Origin China
Recycled No
Assembly Required No
General Information
Product Type Coin Sorter
Manufacturer Part Number FS-500
Manufacturer Website Address http://www.royalsovereign.com
Packaged Quantity 1 Each
Manufacturer Royal Sovereign International
Product Name FS-500 One-row Coin Sorter
Brand Name Royal Sovereign
Physical Characteristics
Color Gray
Height 9""
Width 9.7""
Depth 7.2""
Product Information
Features Anti Jamming
Overflow Tray
Total Number of Rows 1
Coin Capacity 200
Count Speed (coins/min) 156",,"https://content.etilize.com/300/1064679895.jpg
https://content.etilize.com/Left/1064679895.jpg
https://content.etilize.com/Front/1064679895.jpg
https://content.etilize.com/Right/1064679895.jpg
https://content.etilize.com/Alternate-Image1/1064679895.jpg
https://content.etilize.com/Alternate-Image2/1064679895.jpg
https://content.etilize.com/Alternate-Image3/1064679895.jpg
https://content.etilize.com/Alternate-Image4/1064679895.jpg
https://content.etilize.com/Alternate-Image5/1064679895.jpg
","https://usa.ingrammicro.com/site/productdetail?id=A300-8HX070
https://usa.ingrammicro.com/site/productdetail?id=A300-VV2887
https://usa.ingrammicro.com/site/productdetail?id=A300-1Y9049
https://usa.ingrammicro.com/site/productdetail?id=A300-T46961
https://usa.ingrammicro.com/site/productdetail?id=A300-NZ4197
"
